Year,Carrier Number,locality,CPT,Modifier,Non Facility Fee,Facility Fee,PCTC Indicator,Status Code,Multiple Surgery Indicator
2024,4412,18,G0011,  ,26.95,22.94,0,A,0
2024,4412,18,G0012,  ,14.55,14.55,5,A,0
2024,4412,18,G0013,  ,23.57,8.88,0,A,0
2024,4412,18,G0017,  ,216.43,190.05,0,A,0
2024,4412,18,G0018,  ,107.95,95.93,0,A,0
2024,4412,18,G0019,  ,82.11,51.06,0,A,0
2024,4412,18,G0022,  ,51.35,35.65,0,A,0
2024,4412,18,G0023,  ,82.11,51.06,0,A,0
2024,4412,18,G0024,  ,51.35,35.65,0,A,0
2024,4412,18,G0076,  ,50.46,50.46,0,A,0
2024,4412,18,G0077,  ,75.09,75.09,0,A,0
2024,4412,18,G0078,  ,123.08,123.08,0,A,0
2024,4412,18,G0079,  ,161.66,161.66,0,A,0
2024,4412,18,G0080,  ,212.55,212.55,0,A,0
2024,4412,18,G0081,  ,49.45,49.45,0,A,0
2024,4412,18,G0082,  ,79.78,79.78,0,A,0
2024,4412,18,G0083,  ,125.88,125.88,0,A,0
2024,4412,18,G0084,  ,178.06,178.06,0,A,0
2024,4412,18,G0085,  ,212.55,212.55,0,A,0
2024,4412,18,G0086,  ,75.93,75.93,0,A,0
2024,4412,18,G0087,  ,106.39,106.39,0,A,0
2024,4412,18,G0101,  ,40.51,28.49,0,A,0
2024,4412,18,G0102,  ,23.57,8.88,0,A,9
2024,4412,18,G0104,  ,188.56,58.35,0,A,2
2024,4412,18,G0105,  ,347.09,188.83,0,A,2
2024,4412,18,G0105,53,173.38,94.58,0,A,2
2024,4412,18,G0106,  ,220.76,220.76,1,A,0
2024,4412,18,G0106,TC,160.73,160.73,1,A,0
2024,4412,18,G0106,26,60.03,60.03,1,A,0
2024,4412,18,G0108,  ,55.29,55.29,0,A,0
2024,4412,18,G0109,  ,15.92,15.92,0,A,0
2024,4412,18,G0117,  ,64.2,64.2,0,T,0
2024,4412,18,G0118,  ,42.27,42.27,0,T,0
2024,4412,18,G0120,  ,220.76,220.76,1,A,0
2024,4412,18,G0120,TC,160.73,160.73,1,A,0
2024,4412,18,G0120,26,60.03,60.03,1,A,0
2024,4412,18,G0121,  ,347.56,189.3,0,A,2
2024,4412,18,G0121,53,173.85,95.05,0,A,2
2024,4412,18,G0124,  ,24.27,24.27,0,A,0
2024,4412,18,G0127,  ,24.24,7.54,0,R,2
2024,4412,18,G0128,  ,9.82,9.82,3,R,0
2024,4412,18,G0130,  ,37.08,37.08,1,A,0
2024,4412,18,G0130,TC,26.18,26.18,1,A,0
2024,4412,18,G0130,26,10.9,10.9,1,A,0
2024,4412,18,G0136,  ,19.23,9.22,0,A,0
2024,4412,18,G0140,  ,82.11,51.06,0,A,0
2024,4412,18,G0141,  ,24.27,24.27,0,A,0
2024,4412,18,G0146,  ,51.35,35.65,0,A,0
2024,4412,18,G0166,  ,103.37,103.37,5,A,9
2024,4412,18,G0168,  ,123.12,15.61,0,A,2
2024,4412,18,G0179,  ,42.64,42.64,0,A,0
2024,4412,18,G0180,  ,54.67,54.67,0,A,0
2024,4412,18,G0181,  ,107.09,107.09,0,A,0
2024,4412,18,G0182,  ,106.62,106.62,0,A,0
2024,4412,18,G0237,  ,11.49,11.49,5,A,0
2024,4412,18,G0238,  ,10.49,10.49,5,A,0
2024,4412,18,G0239,  ,13.16,13.16,5,A,0
2024,4412,18,G0245,  ,65.63,40.26,0,R,0
2024,4412,18,G0246,  ,39.5,20.13,0,R,0
2024,4412,18,G0247,  ,84.92,21.82,0,R,0
2024,4412,18,G0248,  ,100.7,100.7,3,R,0
2024,4412,18,G0249,  ,65.91,65.91,3,R,0
2024,4412,18,G0250,  ,8.88,8.88,2,R,0
